date,pathway_adherence_rate,pathway_admit_to_treatment_time,pathway_complication_rate,pathway_diagnosis_to_treatment_time,pathway_dropout_rate,pathway_failure_rate,pathway_readmission_rate,pathway_relapse_rate,pathway_success_rate,pathway_treatment_duration
2025-04-03,78.41,2.03,8.18,1.52,11.57,7.510000000000005,5.17,3.42,92.49,12.63
2025-04-04,75.1,0.71,8.1,2.56,10.57,24.409999999999997,7.47,7.75,75.59,12.17
2025-04-05,75.71,1.92,9.99,2.7,11.13,6.290000000000006,8.42,4.77,93.71,9.18
2025-04-06,72.08,0.61,8.04,1.08,9.37,20.879999999999995,6.19,4.42,79.12,11.87
2025-04-07,73.48,2.33,8.58,3.78,6.45,10.730000000000004,5.58,3.56,89.27,10.06
2025-04-08,85.86,1.06,8.45,3.07,7.1,5.140000000000001,6.52,4.78,94.86,12.19
2025-04-09,74.08,2.22,9.93,1.79,12.68,23.870000000000005,10.6,3.48,76.13,12.41
2025-04-10,86.51,1.5,9.23,3.09,9.88,10.760000000000005,9.27,6.49,89.24,8.57
2025-04-11,73.04,0.64,3.67,2.45,13.65,13.370000000000005,8.29,3.52,86.63,12.15
2025-04-12,86.35,2.29,3.13,1.57,13.44,5.829999999999998,9.87,5.63,94.17,9.26
2025-04-13,81.58,1.39,5.78,1.14,13.02,12.75,6.87,3.93,87.25,9.45
2025-04-14,88.68,0.98,3.96,3.96,8.36,17.67,5.25,7.03,82.33,11.56
2025-04-15,72.63,1.48,4.51,2.53,6.49,24.200000000000003,5.51,5.52,75.8,6.21
2025-04-16,83.38,1.6,4.38,1.39,5.24,12.310000000000002,7.76,2.77,87.69,12.5
2025-04-17,89.81,0.73,4.41,3.37,8.0,6.230000000000004,11.29,7.54,93.77,7.12
2025-04-18,86.31,1.82,8.02,3.94,7.56,18.78,11.21,2.3,81.22,6.13
2025-04-19,75.32,0.66,7.29,3.48,12.36,17.260000000000005,7.61,4.98,82.74,6.4
2025-04-20,72.35,2.26,4.59,2.97,7.7,17.790000000000006,11.85,6.01,82.21,6.52
2025-04-21,89.96,1.8,4.4,3.42,12.31,18.980000000000004,11.46,2.28,81.02,7.02
2025-04-22,78.44,1.75,4.18,1.8,13.71,10.170000000000002,8.98,5.99,89.83,12.19
2025-04-23,79.16,2.19,5.55,3.17,6.42,10.819999999999993,5.59,6.16,89.18,8.46
2025-04-24,82.5,2.11,5.23,3.69,10.45,7.680000000000007,5.27,3.71,92.32,7.0
2025-04-25,87.23,0.55,8.84,3.98,11.83,13.180000000000007,8.77,3.9,86.82,11.75
2025-04-26,83.23,0.96,5.27,3.22,6.15,15.280000000000001,11.01,3.48,84.72,11.02
2025-04-27,80.87,1.14,9.53,2.03,8.4,10.909999999999997,10.71,7.67,89.09,6.3
2025-04-28,70.76,2.3,4.37,2.78,6.11,13.75,8.26,2.57,86.25,11.38
2025-04-29,86.31,1.55,5.82,3.29,8.88,24.730000000000004,9.03,3.4,75.27,7.19
2025-04-30,82.37,1.49,9.78,3.05,12.42,22.049999999999997,6.64,7.58,77.95,6.38
2025-05-01,73.65,0.79,6.93,3.67,6.62,12.540000000000006,7.41,7.31,87.46,13.72
2025-05-02,83.37,1.81,5.12,1.02,14.77,6.069999999999993,10.65,7.32,93.93,7.52
2025-05-03,76.15,2.24,5.86,1.13,10.12,8.010000000000005,10.9,7.81,91.99,5.12
2025-05-04,85.3,1.31,8.01,2.62,6.37,11.799999999999997,5.61,3.07,88.2,11.15
2025-05-05,81.01,1.72,6.26,1.59,9.04,6.6299999999999955,7.7,2.93,93.37,9.88
2025-05-06,75.34,1.03,3.4,2.87,9.61,15.959999999999994,5.69,3.04,84.04,10.1
2025-05-07,86.27,1.31,7.23,3.67,12.46,11.189999999999998,7.07,6.46,88.81,11.43
2025-05-08,73.13,0.97,3.88,2.88,7.53,24.519999999999996,6.78,5.33,75.48,11.08
2025-05-09,89.24,1.96,6.89,3.58,10.65,20.760000000000005,10.83,2.78,79.24,8.42
2025-05-10,81.82,1.12,9.23,3.45,10.22,15.150000000000006,6.73,2.02,84.85,10.9
2025-05-11,72.45,2.14,7.14,1.34,11.02,21.72,11.98,3.13,78.28,5.67
2025-05-12,76.8,1.54,5.64,3.56,13.67,12.170000000000002,8.04,4.05,87.83,11.7
2025-05-13,81.02,0.95,6.46,2.36,14.27,9.64,11.4,2.74,90.36,6.54
2025-05-14,84.28,0.97,9.58,2.86,8.98,17.5,7.73,2.19,82.5,12.33
2025-05-15,78.54,2.35,4.66,3.58,12.59,12.200000000000003,11.61,2.23,87.8,9.53
2025-05-16,82.55,0.74,9.29,1.24,8.84,15.36,6.16,5.79,84.64,8.56
2025-05-17,72.54,2.13,3.86,1.43,13.17,22.310000000000002,6.39,3.4,77.69,7.06
2025-05-18,75.54,1.54,9.13,2.07,5.73,19.310000000000002,7.6,5.57,80.69,10.21
2025-05-19,82.05,1.36,5.3,2.87,10.36,14.700000000000003,9.83,3.9,85.3,6.42
2025-05-20,81.34,1.19,6.21,1.38,5.63,21.069999999999993,6.46,6.58,78.93,7.0
2025-05-21,72.08,0.88,6.19,1.23,7.46,15.680000000000007,8.03,2.96,84.32,8.51
2025-05-22,70.74,1.76,8.57,1.34,6.21,9.620000000000005,11.08,2.32,90.38,5.25
2025-05-23,73.48,1.56,5.13,1.7,5.02,21.97,5.23,6.86,78.03,10.25
2025-05-24,73.7,1.54,5.86,1.22,6.36,6.450000000000003,9.94,7.4,93.55,6.59
2025-05-25,81.06,0.98,8.33,3.69,9.67,6.670000000000002,5.04,2.85,93.33,12.58
2025-05-26,86.47,0.82,8.44,3.3,8.02,17.099999999999994,9.35,5.32,82.9,7.07
2025-05-27,76.71,1.11,9.44,3.89,10.3,9.86,10.93,5.58,90.14,10.71
2025-05-28,73.48,2.22,9.57,1.92,7.89,9.590000000000003,6.28,5.87,90.41,12.56
2025-05-29,83.54,2.18,4.91,1.03,8.63,20.349999999999994,9.2,4.88,79.65,8.45
2025-05-30,76.15,2.14,8.7,3.71,7.69,9.280000000000001,10.91,4.4,90.72,7.03
2025-05-31,85.74,2.19,4.38,2.23,9.53,10.959999999999994,5.19,2.22,89.04,6.1
2025-06-01,86.04,1.86,8.03,3.05,12.24,17.209999999999994,11.75,2.84,82.79,12.7
2025-06-02,71.64,1.02,6.2,1.13,10.44,14.909999999999997,9.95,2.29,85.09,12.02
2025-06-03,81.17,1.79,4.09,2.77,5.98,17.069999999999993,11.11,5.03,82.93,12.01
2025-06-04,72.64,1.89,3.53,2.63,7.17,8.299999999999997,10.91,5.21,91.7,13.7
